year,transmission,engine,max_power
2012,1,1498.0,97.7
2016,1,1248.0,74.0
2013,1,1461.0,108.45
2014,1,1598.0,103.2
2016,1,1498.0,99.23
2013,1,1498.0,98.59
2013,1,1248.0,75.0
2018,0,1368.0,98.63
2014,1,2179.0,118.3
2019,0,2487.0,214.56
2013,1,1248.0,73.8
2013,1,1197.0,82.85
2015,1,2179.0,120.0
2014,1,2179.0,140.0
2004,1,796.0,46.3
2016,1,998.0,67.05
2014,0,2143.0,120.7
2019,0,1199.0,88.76
2005,1,2523.0,63.0
2018,1,1197.0,81.83
2017,0,1497.0,117.3
2012,1,2494.0,100.0
2011,1,1248.0,91.2
2015,1,1198.0,67.0
2016,1,1197.0,81.83
2016,0,2494.0,157.7
2016,1,799.0,53.3
2015,1,1197.0,82.0
2014,1,2523.0,63.0
2017,0,1999.0,177.0
2018,1,1086.0,68.0
2015,1,793.0,47.0
2018,1,1248.0,74.0
2013,1,1248.0,74.02
2016,1,1461.0,83.8
2019,1,1199.0,83.83
2015,1,1120.0,70.0
2014,1,1248.0,73.94
2018,0,1197.0,81.8
2016,1,1248.0,73.74
2012,1,1248.0,73.9
2016,1,1498.0,88.0
2017,1,1199.0,88.7
2011,1,2494.0,102.0
2019,1,998.0,100.5
2016,1,998.0,67.04
2012,1,1198.0,86.8
2010,1,1248.0,91.7
2016,1,1498.0,98.6
2014,1,998.0,67.1
2005,1,1396.0,85.0
2018,1,1498.0,99.0
2018,1,1248.0,88.5
2018,1,1197.0,81.8
2012,1,814.0,55.2
2016,1,1373.0,91.1
2005,1,993.0,60.0
2012,1,1461.0,108.45
2019,0,1199.0,88.76
2016,0,2755.0,171.5
2009,1,1396.0,90.0
2003,1,1248.0,82.4
2014,1,1498.0,98.6
2015,1,1248.0,88.5
2017,1,1497.0,118.0
2012,1,998.0,67.1
2018,1,1197.0,81.83
2018,1,1461.0,84.8
2007,1,1896.0,66.0
2018,1,1197.0,81.8
2018,1,1248.0,74.0
2007,1,2956.0,63.0
2017,1,1498.0,108.62
2017,0,1999.0,177.0
2008,1,1596.0,99.6
2017,1,1997.0,120.0
2017,1,1248.0,74.0
2016,1,1396.0,88.73
2013,1,2179.0,138.1
2013,1,1582.0,126.32
2017,1,1497.0,117.3
2011,1,1298.0,85.8
2011,1,2523.0,62.1
2017,1,796.0,47.3
2016,1,1582.0,126.2
2019,1,999.0,75.0
2017,1,998.0,67.05
2016,1,1248.0,74.0
2020,1,1597.0,118.0
2011,1,1196.0,73.0
2019,1,1199.0,84.0
2017,1,796.0,47.3
2010,1,2498.0,112.0
2013,1,1461.0,83.8
2018,1,1248.0,88.5
2012,1,1199.0,73.9
2011,1,1968.0,138.08
2009,0,1995.0,181.0
2019,1,1197.0,81.8
2017,1,1186.0,73.97
2012,1,1197.0,85.8
2008,1,1396.0,53.5
2005,1,998.0,67.1
2012,1,2494.0,102.0
2011,1,998.0,67.1
2011,1,796.0,35.0
2013,1,814.0,55.2
2014,1,998.0,67.04
2017,1,1498.0,108.6
2011,1,1991.0,123.7
2005,1,1248.0,82.4
2011,1,1405.0,70.0
2012,1,1248.0,74.0
2014,1,1248.0,74.0
2014,1,1405.0,69.01
2014,1,2179.0,138.1
2018,1,1248.0,74.02
2016,1,1582.0,126.2
2019,0,2487.0,214.56
2017,1,1196.0,73.0
2016,1,1197.0,82.0
2017,1,1248.0,74.0
2016,1,1493.0,100.0
2017,0,998.0,67.0
2019,0,1197.0,81.86
2018,1,1199.0,74.0
2015,1,2179.0,147.94
2017,1,1199.0,88.7
2019,0,1368.0,160.0
2013,1,1248.0,74.0
2005,0,1493.0,100.0
2019,0,2179.0,152.87
2012,1,1405.0,70.0
2011,1,1396.0,85.0
2016,1,1198.0,86.8
2017,1,1248.0,74.0
2017,1,998.0,67.05
2009,1,1172.0,65.0
2010,1,1248.0,73.9
2018,0,1984.0,150.0
2012,1,1248.0,88.8
2005,1,796.0,46.3
2013,1,2494.0,100.6
2015,1,1248.0,88.5
2014,1,1197.0,78.9
2017,1,1197.0,82.0
2009,1,1991.0,142.0
2005,1,1341.0,83.0
2019,0,1197.0,81.86
2013,1,1198.0,86.7
2007,1,1248.0,82.4
2016,0,1598.0,103.5
2011,0,1998.0,190.0
2018,1,1591.0,121.3
2011,1,2523.0,63.0
2014,1,1396.0,69.01
2016,1,796.0,47.3
2018,1,2393.0,147.8
2015,1,814.0,55.2
2019,1,1199.0,84.0
2009,1,1248.0,82.4
2018,1,2200.0,139.01
2019,1,2179.0,120.0
2007,1,796.0,46.3
2012,1,796.0,46.3
2010,1,1405.0,71.0
2006,1,1497.0,100.0
2013,1,936.0,57.6
2019,1,1498.0,98.96
2015,1,998.0,67.05
2017,1,1248.0,74.0
2019,0,1197.0,81.8
2017,0,2755.0,171.5
2011,1,998.0,67.1
2016,1,1197.0,82.0
2015,1,1498.0,74.96
2018,1,998.0,67.04
2018,0,1197.0,81.8
2005,1,2523.0,63.0
2009,1,2494.0,102.0
2015,1,1248.0,74.0
2019,0,1199.0,88.76
2009,0,2179.0,120.0
2005,1,998.0,67.1
2014,1,2523.0,62.1
2014,0,1498.0,103.6
2014,1,1405.0,69.01
2014,1,2489.0,93.7
2013,1,1197.0,78.9
2011,0,1197.0,78.9
2018,1,1197.0,81.8
2014,1,1198.0,86.8
2019,0,1999.0,148.31
2013,1,1248.0,88.8
2017,1,814.0,55.2
2017,1,1248.0,74.0
2015,1,2179.0,140.0
2007,1,1150.0,74.9
2012,1,796.0,35.0
2016,1,1199.0,76.8
2017,1,1498.0,89.84
2011,1,1199.0,75.0
2014,1,2494.0,100.6
2015,1,1197.0,82.0
2017,1,1197.0,81.86
2018,1,998.0,100.5
2012,1,1248.0,92.0
2007,1,796.0,46.3
2004,1,1405.0,70.0
2017,1,998.0,67.04
2002,1,796.0,37.0
2019,0,1995.0,190.0
2018,1,1248.0,74.0
2018,1,2498.0,105.0
2016,1,814.0,55.2
2017,1,998.0,68.05
2016,1,1197.0,81.83
2016,1,1405.0,69.01
2011,1,1968.0,108.5
2010,1,1197.0,80.0
2013,1,1198.0,86.8
2019,1,1197.0,81.8
2009,1,1061.0,67.0
2009,1,1598.0,102.5
2017,1,2523.0,75.0
2017,1,1364.0,86.79
2012,0,1591.0,121.3
2016,1,1248.0,88.5
2010,1,1248.0,82.4
2017,1,1197.0,81.86
2014,1,1248.0,74.0
2017,1,1199.0,84.0
2018,0,1968.0,181.0
2013,1,2494.0,100.6
2018,1,1198.0,77.0
2015,1,1199.0,76.8
2013,1,1248.0,74.0
2018,1,1798.0,138.03
2017,1,814.0,55.2
2019,1,1198.0,86.7
2003,1,1495.0,94.0
2017,0,1999.0,177.0
2005,1,2523.0,63.0
2019,1,1197.0,81.83
2005,1,998.0,67.1
2018,1,1497.0,108.5
2012,1,624.0,37.5
2018,1,1396.0,88.76
2019,0,1969.0,190.0
2019,0,1197.0,81.8
2015,1,1120.0,70.0
2017,1,1197.0,83.1
2011,1,2523.0,63.0
2019,0,1995.0,190.0
2013,1,1248.0,74.0
2009,1,1799.0,130.0
2015,1,1120.0,70.0
2016,0,1598.0,103.5
2013,1,1248.0,74.0
2011,1,2523.0,63.0
2011,1,1399.0,68.0
2016,1,1248.0,82.4
2016,1,999.0,67.0
2012,1,1248.0,82.4
2009,1,998.0,66.1
2010,1,1248.0,73.9
2003,1,1248.0,82.4
2015,1,2523.0,62.1
2015,1,1405.0,69.01
2010,1,1405.0,70.0
2006,1,1493.0,110.0
2015,1,2523.0,62.1
2014,1,796.0,47.3
2017,1,796.0,47.3
2017,0,999.0,67.0
2018,0,1498.0,108.5
2019,1,1248.0,74.02
2018,1,1199.0,84.0
2019,1,1186.0,73.97
2018,1,998.0,67.04
2018,0,1197.0,81.8
2011,1,2489.0,95.0
2016,0,1997.0,140.0
2016,1,998.0,67.04
2000,1,796.0,46.3
2017,0,2987.0,254.79
2018,1,796.0,47.3
2016,0,2179.0,140.0
2019,1,1498.0,108.6
2013,1,2179.0,140.0
2017,1,1047.0,69.0
2018,1,1248.0,74.02
2015,1,1497.0,117.3
2015,1,799.0,53.3
2017,1,1199.0,84.0
2009,1,1461.0,66.0
2018,1,1199.0,84.0
2017,0,1991.0,181.04
2014,1,2489.0,93.7
2018,0,1968.0,174.33
2004,1,1248.0,82.4
2018,0,2993.0,261.4
2015,1,1197.0,85.8
2013,1,1248.0,73.94
2012,1,1399.0,68.0
2015,1,998.0,67.04
2010,1,1248.0,88.8
2015,1,1248.0,88.8
2017,1,1199.0,84.0
2018,1,796.0,47.3
2012,1,1405.0,71.0
2011,1,1248.0,90.0
2011,1,1896.0,105.0
2007,1,1086.0,66.6
2009,1,1798.0,138.0
2018,0,1197.0,81.8
2012,1,796.0,46.3
2017,0,1197.0,81.8
2011,1,1197.0,78.9
2006,1,1497.0,78.0
2016,0,2776.0,197.2
2015,1,1248.0,88.5
2013,1,1598.0,103.6
2016,1,1396.0,88.73
2017,1,1248.0,73.74
2011,1,1399.0,68.0
2013,1,1248.0,74.0
2013,1,1248.0,74.0
2017,1,1197.0,81.83
2015,1,2179.0,147.94
2015,1,1197.0,82.0
2013,1,1248.0,88.76
2016,0,1995.0,183.0
2012,1,1582.0,126.32
2011,1,1199.0,75.0
2018,0,2755.0,174.5
2018,1,1461.0,83.8
2016,1,1997.0,140.0
2010,1,2523.0,63.0
2012,1,1396.0,88.76
2019,0,1197.0,82.0
2013,1,1248.0,73.94
2012,1,1248.0,91.7
2017,1,1197.0,81.86
2013,1,1248.0,76.9
2015,1,796.0,47.3
2015,0,1493.0,100.0
2018,1,909.0,45.0
2015,1,1197.0,81.8
2011,1,1598.0,103.6
2018,1,1248.0,88.5
2016,1,1498.0,98.6
2018,1,1498.0,98.59
2017,1,1186.0,73.97
2019,1,1197.0,81.86
2015,1,2179.0,147.94
2013,1,1196.0,73.0
2011,0,2199.0,194.3
2018,1,1461.0,83.14
2013,1,1248.0,88.76
2008,1,1493.0,110.0
2013,1,2494.0,100.6
2018,0,1197.0,81.86
2016,1,1248.0,74.0
2019,1,799.0,53.64
2014,1,1086.0,62.1
2017,1,1248.0,88.5
2012,1,1298.0,85.8
2018,1,998.0,67.05
2020,1,1198.0,77.0
2009,1,1248.0,82.4
2015,1,1498.0,98.6
2012,1,1248.0,88.76
2004,1,796.0,37.0
2012,1,814.0,55.2
2013,1,796.0,47.3
2016,1,1199.0,88.7
2015,1,1086.0,68.05
2016,1,1197.0,82.0
2013,1,1248.0,74.0
2017,1,1248.0,74.02
2017,1,1248.0,74.0
2012,1,1399.0,67.0
2013,1,814.0,55.2
2018,0,2755.0,174.5
2017,1,1248.0,74.02
2009,1,1061.0,67.0
2013,1,1493.0,100.0
2015,1,1193.0,88.7
2016,0,1598.0,103.5
2013,1,1248.0,74.0
2015,1,998.0,67.04
2017,0,998.0,67.0
2017,1,2179.0,140.0
2010,1,1248.0,75.0
2017,1,1582.0,126.2
2017,1,998.0,67.04
2018,0,1248.0,74.02
2017,1,2393.0,147.8
2006,1,796.0,37.0
2012,1,2179.0,120.0
2015,1,1497.0,117.3
2014,1,2494.0,100.6
2013,1,1493.0,100.0
2015,1,1498.0,98.6
2008,1,2609.0,120.0
2020,0,2755.0,174.5
2017,1,1248.0,88.5
2017,0,2982.0,168.5
2016,0,1598.0,103.5
2018,1,1248.0,74.0
2017,1,1193.0,88.7
2017,1,1199.0,88.7
2017,1,1186.0,73.97
2017,1,1199.0,84.0
2014,1,1120.0,70.0
2012,1,1197.0,82.85
2012,1,995.0,62.0
2019,1,1086.0,68.0
2015,1,1197.0,81.86
2015,1,1248.0,88.5
2019,1,1198.0,86.7
2013,1,796.0,47.3
2017,1,1248.0,74.0
2006,1,1341.0,83.0
2013,1,2179.0,140.0
2014,1,998.0,67.04
2013,1,936.0,57.6
2004,1,1794.0,125.0
2013,1,814.0,55.2
2014,1,1248.0,74.0
2015,1,1248.0,88.76
2016,1,998.0,67.05
2017,1,1197.0,83.1
2007,1,796.0,46.3
2019,0,1995.0,190.0
2015,1,1197.0,82.0
2000,1,796.0,53.0
2011,1,1248.0,73.9
2011,1,1196.0,73.0
2011,1,1086.0,68.05
2016,1,1199.0,88.7
2017,1,799.0,53.3
2019,0,1199.0,88.76
2018,1,796.0,34.2
2007,1,1497.0,78.0
2007,1,1405.0,62.0
2013,1,2494.0,100.6
2018,1,1197.0,81.8
2017,1,1248.0,88.5
2012,1,1248.0,88.8
2015,1,1248.0,74.0
2014,1,1248.0,88.5
2006,1,1248.0,82.4
2017,1,1248.0,88.5
2017,1,1498.0,97.9
2009,1,1061.0,67.0
2008,1,1248.0,82.4
2019,0,1248.0,88.5
2016,1,1373.0,91.1
2017,1,2393.0,147.8
2008,1,1061.0,67.0
2016,1,1199.0,82.4
2003,1,1493.0,82.0
2013,1,1199.0,84.8
2013,1,814.0,55.2
2007,1,1086.0,68.05
2013,1,2494.0,100.6
2011,1,2523.0,63.0
2013,1,2494.0,100.57
2013,1,1197.0,82.85
2017,0,1999.0,177.0
1998,1,796.0,37.0
2015,1,1396.0,88.73
2007,1,1298.0,88.2
2003,1,993.0,60.0
2016,1,1197.0,81.8
2011,1,1396.0,90.0
2010,1,1396.0,90.0
2016,1,1197.0,82.0
2019,1,1248.0,74.02
2013,1,1248.0,74.0
2017,1,998.0,67.04
2012,1,936.0,56.3
2012,1,1586.0,103.3
2014,1,2489.0,95.0
2011,1,2179.0,140.0
2009,1,2179.0,138.1
2011,1,998.0,67.1
2014,1,1461.0,83.8
2016,1,1248.0,88.5
2016,0,1598.0,103.5
2019,0,1995.0,190.0
2013,1,1248.0,74.0
2012,1,1598.0,103.6
2013,1,1399.0,68.1
2010,1,1396.0,69.0
2013,1,814.0,55.2
2013,1,2494.0,100.0
2011,1,1599.0,103.2
2016,1,1248.0,74.0
2016,0,2494.0,157.7
2018,1,1197.0,81.83
2010,1,2498.0,112.0
2013,1,1197.0,85.8
2015,1,998.0,67.04
2019,0,1969.0,190.0
2005,1,1341.0,83.0
2008,1,1248.0,73.9
2012,1,1582.0,126.32
2012,1,1248.0,0.0
2016,1,1248.0,74.0
2016,1,1199.0,88.7
2014,1,1498.0,88.8
2012,1,1197.0,85.8
2014,1,2179.0,140.0
2008,1,1422.0,70.0
2012,1,1248.0,73.94
2011,1,1248.0,82.4
2018,0,1984.0,150.0
2013,1,2494.0,100.6
2004,1,1343.0,90.0
2017,1,1248.0,74.0
2017,1,1248.0,88.5
2011,1,1364.0,67.1
2013,1,998.0,67.05
2019,1,1196.0,73.0
2019,1,1197.0,81.8
2017,1,1197.0,83.14
2018,1,799.0,53.3
2017,1,1396.0,88.73
2017,1,1248.0,88.5
2017,1,1997.0,120.0
2012,1,1248.0,75.0
2016,1,1248.0,74.0
2016,1,2523.0,62.1
2012,1,1405.0,70.0
2015,1,1396.0,88.73
2014,1,1364.0,67.04
2016,1,799.0,53.3
2015,1,1198.0,67.06
2012,1,1086.0,68.05
2008,1,1493.0,110.0
2014,1,998.0,67.05
2010,1,1248.0,91.7
2006,1,2494.0,102.0
2016,1,1248.0,73.74
2010,0,2179.0,120.0
2013,1,2179.0,140.0
2017,1,1248.0,74.0
2018,1,1798.0,138.03
2018,1,2498.0,105.0
2009,1,1497.0,118.0
2010,1,1948.0,90.0
2010,1,1248.0,82.4
2017,1,796.0,47.3
2019,0,1969.0,190.0
2011,1,1248.0,73.9
2017,1,998.0,67.04
2014,1,1199.0,82.4
2016,1,1198.0,77.0
2010,1,1396.0,90.0
2018,1,1364.0,67.04
2020,1,1197.0,81.8
2013,1,814.0,55.2
2013,1,1248.0,88.76
2017,1,2179.0,120.0
2011,1,2494.0,102.0
2018,1,799.0,53.3
2010,1,2498.0,112.0
2014,1,1405.0,69.01
2019,0,1995.0,190.0
2018,1,1498.0,98.96
2017,1,1197.0,82.0
2015,1,1120.0,70.0
2017,1,1186.0,73.97
2007,1,2179.0,138.1
2015,1,1396.0,88.73
2012,1,1248.0,82.4
2012,1,1461.0,65.0
2017,1,1199.0,84.0
2017,1,1248.0,88.5
2017,1,1582.0,126.2
2009,1,796.0,37.0
2015,1,1582.0,126.2
2019,0,1969.0,190.0
2009,1,1248.0,82.4
2016,1,1498.0,98.6
2013,1,1968.0,138.1
2017,1,1248.0,88.5
2017,1,1197.0,81.86
2018,1,1591.0,121.3
2017,1,1248.0,88.5
2019,0,1995.0,190.0
2016,1,1396.0,105.5
2018,1,1396.0,88.73
2013,1,1199.0,84.8
2013,1,1248.0,74.0
2013,1,2179.0,140.0
2018,1,999.0,67.0
2013,1,1396.0,69.0
2013,1,998.0,67.05
2008,1,1086.0,68.05
2018,1,1197.0,85.0
2017,1,1498.0,99.23
2015,1,2179.0,140.0
2015,1,1198.0,67.0
2018,1,814.0,55.2
2013,1,1248.0,88.76
2013,1,1199.0,73.9
2019,0,1995.0,190.0
2017,0,1197.0,81.8
2017,1,1248.0,88.5
2015,1,1248.0,74.0
2011,1,1248.0,73.9
2010,1,1396.0,69.0
2015,1,1248.0,74.0
2003,1,2179.0,120.0
2012,1,1248.0,82.4
2018,1,2956.0,83.83
2017,1,1197.0,83.14
2017,1,1197.0,81.86
2017,1,1248.0,74.02
2010,1,998.0,67.1
2019,1,1197.0,81.86
2010,1,1368.0,90.0
2011,0,1968.0,138.1
2016,1,999.0,67.0
2015,1,1461.0,84.8
2016,1,1199.0,88.7
2010,1,1197.0,85.8
2012,1,2523.0,62.1
2010,1,1248.0,82.4
2015,1,1493.0,100.0
2015,1,1197.0,81.86
2014,1,1199.0,82.4
2012,1,1461.0,84.8
2012,1,1197.0,85.8
2012,1,998.0,67.1
2011,1,1248.0,73.9
2016,1,1198.0,77.0
2011,1,1197.0,78.9
2011,1,1198.0,73.9
2017,1,1461.0,83.8
2017,1,1199.0,84.0
2009,1,1396.0,52.8
2011,1,624.0,35.0
2017,1,1493.0,100.0
2015,1,1193.0,88.7
2001,1,1248.0,82.4
2003,1,796.0,37.0
2018,1,1198.0,67.0
2015,1,1248.0,91.72
2010,1,2494.0,102.0
2005,1,1495.0,94.0
2017,1,1197.0,81.83
2014,1,1248.0,73.94
2013,1,2523.0,62.1
2014,1,2494.0,100.6
2014,1,1198.0,86.8
2019,1,1498.0,98.6
2016,1,1591.0,121.3
2011,1,1498.0,97.7
2011,1,1396.0,90.0
2018,1,1248.0,88.5
1998,1,993.0,60.0
2013,1,1248.0,74.0
2012,1,1396.0,88.76
2019,1,1086.0,68.0
2014,1,796.0,47.3
2011,1,1196.0,70.0
2001,1,796.0,37.0
2012,1,814.0,55.2
2011,1,998.0,67.1
2008,1,1248.0,82.4
2018,1,1462.0,103.0
2012,1,1298.0,85.8
2017,1,1197.0,83.14
2015,1,1248.0,74.0
2015,1,624.0,37.48
2017,1,1498.0,108.62
2011,1,1399.0,68.0
2010,1,998.0,67.1
2003,1,1597.0,92.0
2015,1,1248.0,74.0
2016,1,1120.0,71.0
2018,0,1991.0,183.0
2017,1,1364.0,67.04
2016,1,1461.0,83.8
2019,0,1199.0,88.76
2016,0,1598.0,103.5
2017,1,1248.0,88.5
2011,1,1399.0,68.0
2017,1,1498.0,97.9
2010,1,1396.0,90.0
2005,1,1495.0,94.0
2017,1,2393.0,147.51
2007,1,1086.0,63.0
2016,1,1248.0,88.5
2011,1,1461.0,64.1
2003,1,1495.0,94.0
2019,1,1248.0,88.5
2007,1,1497.0,78.0
2011,1,995.0,62.0
2012,1,1399.0,68.0
2017,1,1591.0,121.3
2019,0,1197.0,81.8
2017,1,1248.0,88.5
2005,1,1493.0,82.0
2009,1,2499.0,80.0
2012,1,1396.0,69.0
2018,1,1199.0,84.0
2016,0,2494.0,157.7
2019,0,1199.0,88.76
2010,1,2179.0,138.1
2017,1,1248.0,74.0
2017,1,1248.0,88.5
2019,1,799.0,53.3
2019,1,999.0,75.0
2017,1,1497.0,117.3
2011,1,1248.0,73.9
2014,1,1120.0,70.0
2016,1,1248.0,88.7
2019,0,1995.0,190.0
2013,1,1582.0,126.3
2012,1,1197.0,78.9
2016,1,1198.0,67.05
2011,1,1248.0,82.4
2011,1,1399.0,68.0
2009,1,1405.0,71.0
2017,0,1794.0,138.1
2019,0,2755.0,171.5
2014,1,1197.0,85.8
2011,0,2987.0,165.0
2017,1,796.0,47.3
2017,1,1197.0,82.0
2015,1,2179.0,140.0
2016,0,2143.0,136.0
2019,1,1248.0,74.02
2013,1,2523.0,62.1
2017,0,1999.0,177.0
2016,1,1497.0,117.3
2016,1,1248.0,74.0
2016,1,1498.0,98.6
2008,0,1197.0,80.0
2018,1,799.0,53.3
2020,1,1197.0,81.8
2011,1,1399.0,68.0
2016,1,796.0,34.2
